trip_id,booking_id,trip_start_time,trip_end_time,distance_km,fare
43,484,2024-01-04 13:46:59,2024-01-04 14:09:59,7.02,87.04
44,3000,2024-07-08 18:46:23,2024-07-08 19:51:23,29.03,429.54
45,4125,2025-03-22 20:52:22,2025-03-22 22:50:22,23.04,213.09
46,3680,2023-11-26 08:40:45,2023-11-26 10:25:45,25.2,306.74
47,1980,2024-12-16 16:58:25,2024-12-16 18:27:25,18.26,164.06
48,1927,2025-05-05 15:50:51,2025-05-05 16:13:51,7.68,88.81
49,981,2024-12-16 10:37:46,2024-12-16 11:56:46,36.91,345.39
50,3287,2025-01-30 20:16:15,2025-01-30 21:17:15,7.44,98.16
51,1783,2025-07-07 20:18:48,2025-07-07 21:12:48,12.77,120.07
52,362,2024-12-31 12:37:04,2024-12-31 14:12:04,36.24,522.84
53,4266,2024-06-04 12:52:49,2024-06-04 13:18:49,13.23,184.82
54,1540,2024-01-24 19:19:36,2024-01-24 20:27:36,38.48,520.49
55,2298,2025-02-28 23:08:06,2025-03-01 00:30:06,25.18,273.93
56,2320,2024-01-20 20:05:23,2024-01-20 22:05:23,6.93,101.25
57,4073,2024-01-19 00:00:29,2024-01-19 01:30:29,12.67,142.34
58,1382,2023-09-15 08:33:12,2023-09-15 09:27:12,34.4,480.85
59,2510,2025-03-28 05:14:17,2025-03-28 06:49:17,13.46,114.74
60,2782,2025-05-22 23:07:44,2025-05-22 23:54:44,11.79,135.6
61,1346,2025-01-28 14:00:21,2025-01-28 14:51:21,2.13,27.07
62,1211,2023-10-15 12:13:47,2023-10-15 13:20:47,4.63,44.27
63,2186,2023-10-10 18:48:54,2023-10-10 20:09:54,21.51,260.27
64,4526,2024-05-30 14:29:42,2024-05-30 15:17:42,39.66,510.78
65,3558,2023-10-27 11:53:23,2023-10-27 12:12:23,28.45,262.27
66,871,2023-11-23 06:01:09,2023-11-23 07:00:09,36.44,440.31
67,3386,2025-08-08 21:00:06,2025-08-08 21:30:06,27.87,293.3
68,2431,2025-02-27 15:09:08,2025-02-27 15:40:08,18.23,246.14
69,2566,2024-11-29 11:39:53,2024-11-29 12:54:53,19.86,177.08
70,988,2024-03-21 14:09:35,2024-03-21 15:25:35,3.26,26.42
71,1204,2024-01-08 19:52:08,2024-01-08 20:40:08,14.22,131.58
72,3158,2024-08-31 02:58:41,2024-08-31 04:26:41,37.81,475.39
73,3669,2024-08-14 23:00:38,2024-08-14 23:57:38,24.68,211.42
74,2432,2025-01-01 09:16:58,2025-01-01 10:48:58,9.73,123.01
75,4885,2024-07-15 17:07:41,2024-07-15 18:03:41,37.68,563.29
76,164,2025-05-07 02:59:18,2025-05-07 04:25:18,17.58,261.77
77,2474,2024-10-23 18:27:26,2024-10-23 19:40:26,25.3,262.35
78,3495,2024-10-25 06:35:06,2024-10-25 06:49:06,28.03,311.63
79,3296,2025-03-15 09:12:23,2025-03-15 10:14:23,18.54,261.03
80,715,2025-07-17 16:57:48,2025-07-17 18:14:48,19.5,276.12
81,3137,2024-02-19 03:50:28,2024-02-19 04:44:28,20.46,280.92
82,3284,2024-11-26 13:30:56,2024-11-26 14:20:56,26.99,274.75
83,4632,2025-08-10 15:47:20,2025-08-10 16:38:20,24.93,312.3
84,490,2025-08-10 08:52:20,2025-08-10 09:06:20,38.49,487.44
85,2486,2023-10-08 21:12:47,2023-10-08 22:48:47,18.4,211.62
86,4076,2025-03-17 04:51:29,2025-03-17 06:14:29,35.07,397.76
87,165,2025-01-13 11:37:57,2025-01-13 12:05:57,12.9,115.07
88,3218,2024-02-12 11:35:12,2024-02-12 13:12:12,30.3,403.88
89,3155,2024-02-16 20:33:06,2024-02-16 21:34:06,11.69,122.58
90,1335,2024-12-25 18:22:48,2024-12-25 18:37:48,39.77,546.12
91,3972,2024-08-13 05:40:47,2024-08-13 07:25:47,20.26,229.47
92,307,2024-07-08 21:22:18,2024-07-08 22:00:18,36.26,406.34
93,3128,2024-07-27 03:07:52,2024-07-27 04:14:52,37.16,455.64
94,1918,2024-09-03 17:10:13,2024-09-03 19:04:13,21.62,296.96
95,3027,2024-04-13 21:50:03,2024-04-13 23:05:03,28.02,354.37
96,2460,2024-08-17 05:45:42,2024-08-17 07:45:42,17.82,145.48
97,2749,2025-06-14 17:13:14,2025-06-14 17:33:14,18.1,229.93
98,3527,2024-02-27 12:07:50,2024-02-27 13:22:50,3.49,31.09
99,4952,2025-06-12 06:48:47,2025-06-12 07:41:47,21.35,300.18
100,4192,2025-06-24 23:22:05,2025-06-25 00:26:05,33.69,415.12
101,1989,2024-12-21 09:52:12,2024-12-21 10:52:12,26.84,242.63
102,1314,2025-04-09 21:32:50,2025-04-09 22:07:50,22.56,185.59
103,867,2024-04-26 09:32:05,2024-04-26 10:42:05,19.07,282.99
104,3180,2025-03-18 10:14:31,2025-03-18 12:13:31,34.83,289.02
105,1262,2025-09-04 13:50:47,2025-09-04 14:16:47,16.51,145.96
106,390,2024-05-05 21:32:31,2024-05-05 21:54:31,34.33,443.49
107,1252,2024-07-24 10:47:16,2024-07-24 11:03:16,30.46,249.35
108,277,2025-01-09 09:43:34,2025-01-09 11:25:34,27.97,314.17
109,1440,2024-04-05 15:55:56,2024-04-05 17:38:56,16.77,156.39
110,2406,2023-09-21 04:56:35,2023-09-21 05:54:35,31.09,345.5
111,4553,2023-10-08 20:10:44,2023-10-08 21:14:44,10.75,98.89
112,4592,2024-04-09 01:36:05,2024-04-09 03:05:05,18.37,247.21
113,2964,2024-06-21 12:31:04,2024-06-21 14:30:04,29.17,404.68
114,3731,2024-11-25 05:22:10,2024-11-25 06:24:10,29.81,316.98
115,2603,2024-01-17 04:36:59,2024-01-17 05:36:59,30.4,319.57
116,1863,2024-07-11 21:33:39,2024-07-11 22:42:39,30.68,423.95
117,718,2025-03-20 04:32:07,2025-03-20 04:55:07,11.13,89.9
118,4832,2025-03-27 04:58:42,2025-03-27 05:54:42,26.26,253.64
119,3612,2024-06-28 12:07:48,2024-06-28 13:47:48,30.24,396.29
120,2080,2023-09-30 20:24:06,2023-09-30 21:29:06,38.6,423.95
121,455,2025-08-17 04:45:09,2025-08-17 05:35:09,12.74,110.3
122,1809,2024-10-03 18:38:54,2024-10-03 19:58:54,9.09,113.99
123,3261,2025-01-24 23:32:45,2025-01-25 01:29:45,24.95,242.22
124,4182,2024-01-08 14:33:20,2024-01-08 16:25:20,23.74,333.98
125,4691,2025-06-23 01:25:31,2025-06-23 02:28:31,23.32,247.93
126,2516,2024-05-04 08:45:25,2024-05-04 10:20:25,15.08,182.08
127,4097,2024-10-29 12:42:01,2024-10-29 14:25:01,12.54,176.72
128,79,2024-07-29 22:13:44,2024-07-29 23:03:44,13.99,137.87
129,347,2024-05-05 18:39:45,2024-05-05 19:03:45,19.18,230.73
130,1350,2024-04-14 10:17:28,2024-04-14 11:31:28,6.46,72.39
131,3627,2024-12-07 10:27:31,2024-12-07 10:39:31,24.76,362.15
132,203,2024-04-07 08:11:04,2024-04-07 09:35:04,15.68,130.61
133,1171,2023-10-26 09:36:56,2023-10-26 10:12:56,10.69,152.72
134,3940,2024-03-05 17:55:23,2024-03-05 18:19:23,28.16,244.89
135,2486,2024-02-06 08:06:06,2024-02-06 08:57:06,18.15,170.15
136,994,2025-01-05 12:17:17,2025-01-05 12:54:17,15.18,152.65
137,3789,2025-04-21 12:38:48,2025-04-21 14:14:48,27.88,317.97
138,3426,2024-11-11 18:55:45,2024-11-11 19:31:45,16.8,240.95
139,737,2025-04-18 14:51:12,2025-04-18 15:38:12,26.84,251.19
140,113,2024-07-21 06:37:47,2024-07-21 08:04:47,37.54,377.5
141,3389,2023-09-11 01:10:03,2023-09-11 02:18:03,6.19,76.03
142,1162,2025-03-24 06:32:17,2025-03-24 07:08:17,25.94,343.53
143,2592,2025-07-22 05:29:12,2025-07-22 05:57:12,11.5,110.31
144,3687,2024-04-01 17:49:16,2024-04-01 18:49:16,4.0,48.42
145,3059,2025-07-26 03:37:15,2025-07-26 05:23:15,11.4,165.34
146,4215,2025-07-26 23:24:07,2025-07-26 23:44:07,20.89,269.33
147,2566,2023-11-29 14:46:08,2023-11-29 15:53:08,38.2,471.76
148,4741,2024-01-24 05:02:42,2024-01-24 05:59:42,34.44,478.34
149,175,2024-06-23 23:05:44,2024-06-23 23:33:44,23.32,321.82
150,4506,2024-02-04 01:59:56,2024-02-04 03:45:56,23.57,191.47
151,2947,2024-11-15 11:41:49,2024-11-15 13:15:49,18.5,276.48
152,3939,2024-01-29 02:50:09,2024-01-29 04:16:09,32.81,455.72
153,817,2024-09-17 13:48:19,2024-09-17 15:18:19,5.76,55.06
154,879,2025-01-16 03:54:59,2025-01-16 04:16:59,29.95,318.75
155,4743,2023-11-05 09:06:19,2023-11-05 10:50:19,9.83,82.77
156,2136,2025-01-01 12:35:43,2025-01-01 13:15:43,20.65,196.39
157,2943,2025-02-17 04:50:37,2025-02-17 06:04:37,9.09,107.17
158,84,2025-04-23 05:23:25,2025-04-23 07:03:25,33.65,317.33
159,4141,2024-08-06 08:03:38,2024-08-06 09:15:38,34.8,433.22
160,4827,2023-11-16 16:46:19,2023-11-16 18:18:19,38.04,467.21
161,4697,2025-01-22 20:28:11,2025-01-22 21:28:11,3.18,32.41
162,3370,2023-09-13 00:11:41,2023-09-13 01:26:41,39.2,450.01
163,159,2024-10-23 04:40:10,2024-10-23 05:32:10,30.49,359.65
164,437,2023-12-01 07:12:54,2023-12-01 08:35:54,2.11,20.36
165,4965,2025-04-16 14:25:34,2025-04-16 15:03:34,21.15,249.51
166,4249,2023-10-22 00:55:24,2023-10-22 01:09:24,27.65,353.23
167,4284,2025-08-14 16:14:01,2025-08-14 16:26:01,18.34,271.39
168,4984,2024-06-06 13:31:45,2024-06-06 14:05:45,3.81,53.99
169,4917,2023-10-16 13:52:43,2023-10-16 15:08:43,35.49,441.31
170,4346,2024-03-27 08:42:39,2024-03-27 09:25:39,26.59,248.44
171,139,2024-03-13 07:33:34,2024-03-13 08:56:34,35.65,322.59
172,2475,2025-07-11 10:06:55,2025-07-11 12:06:55,13.89,158.08
173,1779,2024-05-24 06:46:07,2024-05-24 08:06:07,30.6,373.25
174,1801,2025-01-13 21:02:17,2025-01-13 22:31:17,34.47,454.7
175,453,2023-10-22 21:10:52,2023-10-22 22:00:52,19.12,175.68
176,305,2024-08-07 04:50:55,2024-08-07 06:47:55,5.82,57.67
177,797,2025-06-18 07:42:15,2025-06-18 07:54:15,30.51,364.12
178,4611,2024-05-19 11:08:20,2024-05-19 12:13:20,12.73,162.65
179,1366,2023-09-18 07:41:48,2023-09-18 08:36:48,8.17,84.72
180,4642,2025-04-14 11:22:42,2025-04-14 11:36:42,11.33,109.79
181,904,2024-05-14 14:23:07,2024-05-14 14:38:07,11.86,159.15
182,2249,2024-01-24 15:18:50,2024-01-24 15:34:50,10.56,132.77
183,4961,2024-04-30 11:20:12,2024-04-30 12:20:12,16.38,245.49
184,569,2024-02-14 19:04:12,2024-02-14 21:04:12,27.31,310.94
185,971,2025-06-23 18:36:15,2025-06-23 18:50:15,13.65,132.47
186,3621,2024-08-01 23:43:53,2024-08-02 00:58:53,12.94,122.46
187,4264,2025-01-17 14:31:26,2025-01-17 15:35:26,38.75,407.99
188,3760,2025-07-26 20:58:31,2025-07-26 22:15:31,10.8,161.56
189,3409,2024-01-05 19:45:41,2024-01-05 20:01:41,30.72,311.77
190,756,2025-08-28 21:18:06,2025-08-28 22:38:06,38.88,486.04
191,2743,2025-08-01 07:09:06,2025-08-01 07:34:06,25.63,356.12
192,1651,2024-04-05 10:39:23,2024-04-05 11:47:23,3.13,32.88
193,29,2024-05-18 12:52:15,2024-05-18 14:38:15,18.46,214.31
194,1145,2024-03-04 05:42:13,2024-03-04 06:04:13,33.09,406.1
195,3331,2024-11-09 01:26:43,2024-11-09 01:49:43,16.76,205.01
196,12,2023-10-17 05:11:54,2023-10-17 05:25:54,10.42,102.91
197,940,2024-01-08 02:52:54,2024-01-08 04:05:54,17.22,191.02
198,4655,2025-04-27 03:07:09,2025-04-27 04:07:09,6.05,73.3
199,1791,2023-12-27 17:20:37,2023-12-27 18:51:37,23.41,344.18
200,3901,2024-01-22 03:10:55,2024-01-22 03:48:55,17.9,224.15
201,4779,2024-05-26 12:20:02,2024-05-26 13:14:02,37.81,305.67
202,1132,2024-11-08 15:49:15,2024-11-08 17:34:15,24.78,347.4
203,2503,2024-04-13 10:21:32,2024-04-13 10:40:32,16.12,172.77
204,442,2024-12-11 07:42:05,2024-12-11 08:18:05,10.69,120.8
205,1689,2025-09-02 18:41:21,2025-09-02 20:06:21,33.7,476.01
206,4382,2025-03-25 16:37:44,2025-03-25 17:39:44,19.24,255.49
207,880,2023-12-19 01:06:11,2023-12-19 02:42:11,37.04,327.33
208,3811,2024-03-24 00:04:42,2024-03-24 01:39:42,10.97,141.37
209,4205,2023-12-14 13:31:55,2023-12-14 15:15:55,26.83,336.7
210,4537,2023-11-20 06:49:26,2023-11-20 08:34:26,18.3,237.51
211,1128,2024-03-27 07:05:04,2024-03-27 08:57:04,26.26,387.88
212,671,2024-01-02 23:03:14,2024-01-02 23:16:14,32.41,443.23
213,1953,2025-07-22 00:45:26,2025-07-22 01:11:26,39.1,497.71
214,3105,2025-07-13 15:28:33,2025-07-13 16:33:33,35.17,475.81
215,448,2025-03-18 03:50:08,2025-03-18 05:44:08,37.84,506.4
216,2126,2023-10-29 08:14:06,2023-10-29 09:11:06,19.18,169.59
217,4139,2024-07-26 02:07:49,2024-07-26 03:33:49,24.74,284.93
218,4117,2024-04-15 10:34:02,2024-04-15 11:02:02,5.07,49.51
219,2556,2023-12-03 02:27:35,2023-12-03 03:27:35,10.55,114.48
220,1027,2024-09-02 17:10:50,2024-09-02 18:08:50,12.19,115.78
221,1360,2024-07-07 10:54:34,2024-07-07 12:54:34,9.95,105.72
222,4344,2025-07-16 01:19:46,2025-07-16 02:02:46,22.38,229.34
223,3883,2024-06-26 15:55:47,2024-06-26 17:25:47,3.19,28.99
224,3521,2025-03-20 07:21:05,2025-03-20 09:07:05,19.1,208.15
225,4254,2024-03-22 02:56:57,2024-03-22 04:09:57,11.06,98.43
226,3789,2025-02-06 17:05:01,2025-02-06 18:47:01,24.99,289.75
227,3336,2025-08-06 05:03:04,2025-08-06 06:48:04,20.76,295.74
228,2090,2025-06-24 09:12:30,2025-06-24 10:33:30,15.3,125.4
229,4094,2024-08-14 20:50:05,2024-08-14 21:07:05,11.38,133.9
230,3362,2024-09-03 18:33:08,2024-09-03 20:21:08,26.22,239.64
231,3992,2025-02-23 22:36:36,2025-02-23 23:00:36,4.45,63.35
232,4779,2025-05-14 08:13:35,2025-05-14 08:53:35,34.51,508.43
233,3214,2024-08-10 01:06:59,2024-08-10 01:24:59,10.77,123.91
234,4567,2024-11-10 03:39:08,2024-11-10 03:51:08,35.97,389.68
235,3976,2024-05-23 13:50:49,2024-05-23 14:43:49,12.47,139.77
236,1084,2024-12-16 13:23:10,2024-12-16 14:30:10,10.01,131.65
237,880,2024-12-01 16:39:42,2024-12-01 17:35:42,34.68,476.38
238,941,2025-01-17 04:40:39,2025-01-17 06:29:39,14.79,119.28
239,2398,2025-01-12 00:40:00,2025-01-12 02:26:00,18.77,271.89
240,2141,2024-08-02 00:36:52,2024-08-02 01:06:52,9.58,137.23
241,3524,2024-05-13 13:41:10,2024-05-13 14:33:10,24.72,309.1
242,840,2025-05-24 08:50:42,2025-05-24 10:44:42,5.43,66.07
243,3347,2024-02-08 04:24:56,2024-02-08 04:37:56,4.87,58.6
244,4444,2023-11-01 23:23:53,2023-11-01 23:53:53,32.57,460.57
245,1260,2024-01-11 00:50:57,2024-01-11 01:28:57,6.84,59.27
246,3882,2025-08-29 15:33:03,2025-08-29 17:00:03,28.1,360.68
247,4239,2025-06-22 09:40:54,2025-06-22 09:55:54,8.75,125.64
248,2664,2025-04-19 15:33:38,2025-04-19 16:46:38,6.34,88.87
249,2999,2023-09-21 02:14:06,2023-09-21 04:06:06,27.86,327.12
250,332,2024-05-05 13:26:31,2024-05-05 14:02:31,35.93,374.87
251,39,2024-09-20 22:29:14,2024-09-20 23:03:14,26.09,244.36
252,654,2024-10-18 13:13:08,2024-10-18 14:29:08,12.8,167.34
253,3677,2024-06-14 15:54:20,2024-06-14 16:32:20,33.4,366.9
254,2093,2024-07-20 12:59:38,2024-07-20 14:18:38,9.51,129.72
255,2497,2025-07-19 18:33:23,2025-07-19 18:49:23,14.71,204.96
256,4848,2024-11-03 12:19:34,2024-11-03 13:26:34,30.02,430.15
257,4842,2024-05-24 09:29:53,2024-05-24 10:07:53,38.95,326.51
258,4847,2023-12-13 22:00:02,2023-12-13 23:31:02,18.74,194.33
259,798,2025-08-12 03:53:27,2025-08-12 04:52:27,39.29,569.22
260,2034,2024-06-20 00:41:11,2024-06-20 01:41:11,15.66,146.44
261,4076,2024-12-26 11:30:34,2024-12-26 12:44:34,31.22,378.35
262,1933,2024-05-03 07:47:05,2024-05-03 08:37:05,39.4,456.11
263,197,2025-03-15 12:06:10,2025-03-15 13:10:10,9.17,109.36
264,3801,2024-07-14 01:32:49,2024-07-14 02:33:49,5.91,65.47
265,4695,2024-05-24 12:33:24,2024-05-24 14:01:24,20.6,228.05
266,4786,2024-10-01 09:20:44,2024-10-01 11:04:44,37.51,416.46
267,1238,2024-07-05 06:45:56,2024-07-05 07:55:56,8.09,87.35
268,3075,2025-02-19 03:42:37,2025-02-19 04:58:37,9.22,101.63
269,3773,2024-11-24 22:41:11,2024-11-25 00:33:11,33.66,470.42
270,4598,2023-10-28 02:29:46,2023-10-28 03:51:46,17.03,181.89
271,4266,2023-12-16 10:45:01,2023-12-16 11:32:01,18.17,205.17
272,3862,2023-10-08 21:07:19,2023-10-08 21:26:19,32.77,453.84
273,3969,2023-10-19 07:25:26,2023-10-19 07:37:26,36.48,367.52
274,2817,2024-08-04 12:12:00,2024-08-04 12:43:00,28.42,306.12
275,1396,2025-03-24 18:54:49,2025-03-24 20:13:49,35.64,457.98
276,1539,2025-04-14 05:11:33,2025-04-14 06:06:33,11.88,135.12
277,2406,2023-10-16 04:00:06,2023-10-16 04:46:06,20.62,258.0
278,3589,2024-10-31 10:31:30,2024-10-31 11:07:30,18.31,273.18
279,3776,2024-04-23 04:31:56,2024-04-23 06:29:56,34.3,301.87
280,1882,2024-11-01 04:41:47,2024-11-01 06:21:47,20.94,299.4
281,4660,2023-12-12 22:52:46,2023-12-12 23:25:46,28.03,247.72
282,3690,2023-10-25 01:07:10,2023-10-25 01:49:10,34.41,293.69
283,2999,2024-05-31 06:04:41,2024-05-31 07:01:41,22.58,333.91
284,4221,2023-12-01 00:58:13,2023-12-01 01:22:13,30.17,250.67
285,4056,2024-02-03 19:40:41,2024-02-03 21:02:41,32.27,328.87
286,1155,2024-06-11 07:46:39,2024-06-11 09:41:39,35.95,483.73
287,1569,2025-02-12 02:35:42,2025-02-12 03:56:42,25.74,213.77
288,1078,2025-01-13 19:42:41,2025-01-13 20:21:41,18.17,214.65
289,2818,2023-10-24 21:58:10,2023-10-24 22:10:10,3.92,44.49
290,2056,2025-04-18 22:42:04,2025-04-18 23:05:04,30.22,416.88
291,2969,2023-09-10 21:37:00,2023-09-10 23:14:00,32.89,491.79
292,770,2024-02-22 00:44:22,2024-02-22 01:13:22,32.12,363.57
293,4435,2024-09-02 03:25:05,2024-09-02 04:28:05,27.38,330.42
294,3698,2023-09-29 15:56:28,2023-09-29 17:35:28,4.04,38.27
295,3672,2024-01-22 02:22:03,2024-01-22 02:57:03,14.13,209.43
296,2575,2024-12-09 17:46:17,2024-12-09 19:26:17,15.65,172.13
297,2121,2025-05-06 13:18:00,2025-05-06 14:28:00,31.96,458.17
298,411,2024-08-20 21:21:18,2024-08-20 21:59:18,26.46,350.68
299,154,2024-12-29 22:17:17,2024-12-29 23:15:17,4.89,52.79
300,3518,2025-02-18 21:21:34,2025-02-18 22:29:34,5.98,63.21
301,4351,2023-09-28 20:56:58,2023-09-28 21:21:58,5.53,79.31
302,4158,2024-01-18 10:56:37,2024-01-18 12:24:37,35.72,415.88
303,4087,2023-09-28 01:42:59,2023-09-28 03:13:59,33.23,462.24
304,2133,2025-07-21 14:39:28,2025-07-21 16:19:28,22.61,319.83
305,167,2024-07-08 02:13:27,2024-07-08 04:02:27,2.34,23.09
306,1273,2025-01-28 15:50:20,2025-01-28 16:13:20,3.13,40.55
307,2169,2025-05-01 21:53:21,2025-05-01 22:38:21,18.96,200.57
308,1619,2025-03-21 16:42:12,2025-03-21 17:33:12,13.17,150.52
309,4670,2025-09-03 05:38:04,2025-09-03 07:38:04,33.05,400.17
310,3422,2024-02-02 02:49:28,2024-02-02 03:45:28,26.79,395.35
311,2198,2024-08-11 00:02:24,2024-08-11 00:20:24,29.36,386.89
312,1724,2025-08-03 14:39:34,2025-08-03 15:47:34,32.04,287.36
313,963,2025-05-16 20:10:31,2025-05-16 20:39:31,22.44,300.53
314,161,2025-03-18 18:07:05,2025-03-18 18:35:05,27.06,224.19
315,3844,2025-05-11 20:45:05,2025-05-11 22:23:05,7.93,70.75
316,3619,2025-02-27 07:53:48,2025-02-27 08:56:48,32.31,446.91
317,3661,2023-12-30 21:58:59,2023-12-30 22:25:59,17.83,209.53
318,716,2025-06-25 11:29:08,2025-06-25 12:52:08,9.21,88.68
319,4701,2024-12-04 11:50:54,2024-12-04 13:48:54,22.89,270.82
320,985,2025-01-01 15:21:02,2025-01-01 16:58:02,34.18,463.39
321,1188,2024-02-06 16:01:07,2024-02-06 17:58:07,24.06,220.45
322,4024,2025-08-04 21:35:30,2025-08-04 23:08:30,36.44,456.61
323,4546,2025-01-10 22:16:33,2025-01-10 22:42:33,20.75,191.09
324,2799,2024-06-03 06:11:21,2024-06-03 07:43:21,24.36,256.89
325,2832,2025-07-04 06:58:37,2025-07-04 07:17:37,11.5,165.54
326,3698,2024-09-18 05:59:34,2024-09-18 07:11:34,13.29,107.83
327,2111,2024-12-28 05:53:42,2024-12-28 07:11:42,17.19,248.42
328,3761,2024-12-20 18:30:59,2024-12-20 19:03:59,33.92,348.77
329,1735,2023-11-13 02:03:06,2023-11-13 03:05:06,32.31,409.29
330,188,2024-10-25 10:01:14,2024-10-25 10:12:14,23.07,266.53
331,2037,2025-02-21 11:46:53,2025-02-21 12:41:53,23.5,293.31
332,640,2025-01-02 22:43:56,2025-01-02 23:00:56,29.44,357.35
333,4205,2024-10-06 22:17:20,2024-10-06 23:08:20,12.47,149.64
334,2531,2024-01-31 11:47:08,2024-01-31 13:34:08,14.87,129.89
335,2877,2024-03-16 01:24:42,2024-03-16 02:35:42,30.95,310.54
336,3239,2024-03-29 02:12:43,2024-03-29 02:57:43,37.78,516.81
337,3577,2023-09-25 12:24:40,2023-09-25 13:53:40,27.69,351.69
338,1222,2025-08-20 16:09:54,2025-08-20 16:57:54,2.44,24.87
339,3474,2025-02-07 14:56:11,2025-02-07 16:30:11,10.08,89.14
340,2875,2025-03-05 16:38:24,2025-03-05 17:46:24,26.35,307.45
341,1448,2024-09-19 18:05:53,2024-09-19 18:18:53,13.76,205.84
342,4464,2025-02-07 13:55:03,2025-02-07 15:07:03,25.71,361.53
343,4189,2024-11-12 15:20:34,2024-11-12 16:10:34,33.07,477.48
344,371,2023-12-24 02:14:48,2023-12-24 02:37:48,6.07,75.5
345,3249,2023-10-31 16:32:11,2023-10-31 17:34:11,6.53,76.79
346,4753,2024-02-22 14:22:03,2024-02-22 14:45:03,17.76,210.25
347,4813,2024-03-10 07:28:56,2024-03-10 08:06:56,7.71,108.25
348,1354,2024-12-05 01:31:08,2024-12-05 02:18:08,23.66,337.3
349,4243,2025-04-06 20:37:43,2025-04-06 20:58:43,23.58,341.68
350,2073,2025-06-04 08:32:00,2025-06-04 10:08:00,27.27,256.34
351,3924,2024-08-23 10:39:55,2024-08-23 11:42:55,27.46,220.88
352,923,2025-01-26 19:57:22,2025-01-26 21:02:22,31.72,387.91
353,2285,2023-10-28 09:27:29,2023-10-28 09:57:29,4.5,37.24
354,1632,2025-08-15 02:55:33,2025-08-15 03:30:33,9.68,135.42
355,3241,2024-01-14 06:53:10,2024-01-14 08:18:10,27.74,336.56
356,4179,2024-06-03 07:39:14,2024-06-03 09:20:14,13.13,182.89
357,1254,2023-12-15 18:32:37,2023-12-15 20:10:37,30.29,313.97
358,3395,2024-06-24 06:09:35,2024-06-24 06:22:35,23.29,334.26
359,4641,2024-10-22 03:43:27,2024-10-22 04:11:27,26.75,340.05
